job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills,job_posted_month
Data Analyst,Analytics Engineering Internship,Germany,via AngelList,Full-time,False,Germany,2023-01-03 22:50:11,False,False,Germany,,,,ankorstore,"['sql', 'python', 'airflow', 'git', 'github', 'docker', 'jenkins']","{'libraries': ['airflow'], 'other': ['git', 'github', 'docker', 'jenkins'], 'programming': ['sql', 'python']}",Jan
Data Engineer,Data Engineer (m/f/d),Germany,via StepStone,Full-time,False,Germany,2023-01-30 13:22:32,False,False,Germany,,,,Umicore AG & Co. KG,"['sql', 'nosql', 'powershell', 'python', 'java', 'c++', 'azure', 'databricks', 'dax', 'sap']","{'analyst_tools': ['dax', 'sap'], 'cloud': ['azure', 'databricks'], 'programming': ['sql', 'nosql', 'powershell', 'python', 'java', 'c++']}",Jan
Data Analyst,"datenanalyst, data analyst",Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-11-11 13:15:31,True,False,Germany,,,,Provita Activcare,"['power bi', 'excel']","{'analyst_tools': ['power bi', 'excel']}",Nov
Data Engineer,Data Engineer (m/w/d),Germany,via WCIA Jobs,Full-time,False,Germany,2023-05-04 13:25:40,True,False,Germany,,,,Rutronik Elektronische Bauelemente GmbH,,,May
Data Scientist,Informatiker / Informationswissenschaftler / Data Scientist (m/w/d),Germany,via BeBee,Part-time,False,Germany,2023-09-27 13:15:02,False,False,Germany,,,,Deutsche Nationalbibliothek,"['python', 'perl', 'r', 'unix']","{'os': ['unix'], 'programming': ['python', 'perl', 'r']}",Sep
Data Scientist,Werkstudent Data Scientist,Germany,via BeBee,Full-time,False,Germany,2023-09-19 05:58:47,False,False,Germany,,,,PricingPioneers GmbH,"['python', 'javascript']","{'programming': ['python', 'javascript']}",Sep
Data Analyst,Material Master Data Analyst,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-01-29 13:18:18,True,False,Germany,,,,MillerCoors Brewing Company,"['excel', 'sap']","{'analyst_tools': ['excel', 'sap']}",Jan
Data Engineer,Data Engineer,Germany,via BeBee,Full-time,False,Germany,2023-11-21 14:03:23,False,False,Germany,,,,COM Software GmbH,"['java', 'python', 'shell', 'sql', 'dax']","{'analyst_tools': ['dax'], 'programming': ['java', 'python', 'shell', 'sql']}",Nov
Data Scientist,Data Scientist (m/w/d),Germany,via StepStone,Full-time,False,Germany,2023-02-20 13:17:06,False,False,Germany,,,,STARK Deutschland GmbH,"['python', 'r', 'sql', 'matlab', 'tensorflow', 'github']","{'libraries': ['tensorflow'], 'other': ['github'], 'programming': ['python', 'r', 'sql', 'matlab']}",Feb
Data Analyst,Data Analyst | Datenanalyst (m/w/d),Germany,via Indeed,Part-time,False,Germany,2023-06-26 13:11:19,True,False,Germany,,,,Peroptyx,,,Jun
Data Analyst,Managing Partner for data,Germany,via BeBee,Full-time,False,Germany,2023-11-28 13:20:23,True,False,Germany,,,,Vicoland,"['aws', 'sap']","{'analyst_tools': ['sap'], 'cloud': ['aws']}",Nov
Data Engineer,Data Engineer,Germany,via LinkedIn,Full-time,False,Germany,2023-02-14 13:29:28,False,False,Germany,,,,Parker B Associates,"['python', 'sql', 'scala', 'azure', 'spark', 'power bi', 'git']","{'analyst_tools': ['power bi'], 'cloud': ['azure'], 'libraries': ['spark'], 'other': ['git'], 'programming': ['python', 'sql', 'scala']}",Feb
Data Analyst,Data Analyst,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-27 13:12:10,True,False,Germany,,,,Hays AG,"['sql', 'snowflake', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['snowflake'], 'programming': ['sql']}",Oct
Data Scientist,Data Scientist (m/w/d),Germany,via StepStone,Full-time,False,Germany,2023-02-15 13:34:00,False,False,Germany,,,,Telefónica Germany GmbH & Co. OHG,"['python', 'r', 'c++', 'sql', 'oracle', 'aws', 'azure', 'tensorflow', 'keras', 'pytorch', 'scikit-learn', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'cloud': ['oracle', 'aws', 'azure'], 'libraries': ['tensorflow', 'keras', 'pytorch', 'scikit-learn'], 'programming': ['python', 'r', 'c++', 'sql']}",Feb
Data Engineer,Data Engineer,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-17 13:16:43,False,False,Germany,,,,PRODYNA SE,,,Oct
Data Scientist,Data Scientist,Germany,via BeBee,Full-time,False,Germany,2023-10-02 13:37:05,False,False,Germany,,,,Bechtle AG,"['python', 'sql', 'html', 'css', 'azure', 'pandas', 'numpy']","{'cloud': ['azure'], 'libraries': ['pandas', 'numpy'], 'programming': ['python', 'sql', 'html', 'css']}",Oct
Data Engineer,Projektleiter:in Data Engineering,Germany,via My Stateline Jobs,Full-time,False,Germany,2023-01-20 14:09:04,False,False,Germany,,,,Deutsche Bahn,"['python', 'sql', 'aws', 'oracle', 'airflow', 'spark', 'kafka', 'linux', 'git', 'terraform', 'ansible']","{'cloud': ['aws', 'oracle'], 'libraries': ['airflow', 'spark', 'kafka'], 'os': ['linux'], 'other': ['git', 'terraform', 'ansible'], 'programming': ['python', 'sql']}",Jan
Data Analyst,Data Analytics Team Lead,Germany,via LinkedIn,Full-time,False,Germany,2023-10-23 13:11:09,True,False,Germany,,,,Codex Recruitment,"['python', 'javascript', 'db2', 'aws', 'gcp', 'oracle', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['aws', 'gcp', 'oracle'], 'databases': ['db2'], 'programming': ['python', 'javascript']}",Oct
Data Engineer,Wirtschaftsinformatiker als Data Engineer / Data Scientist (m/w/d),Germany,via Stepstone,Full-time,False,Germany,2023-09-20 13:14:05,False,False,Germany,,,,CODAN Medizinische Geräte GmbH,['sql'],{'programming': ['sql']},Sep
Data Analyst,Controller - Business/Data Analyst (m/w/d),Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-27 13:12:21,True,False,Germany,,,,Outdooractive GmbH & Co. KG,"['excel', 'power bi', 'tableau']","{'analyst_tools': ['excel', 'power bi', 'tableau']}",Oct
Data Engineer,Data-Engineering-Architekt Python,Germany,via BeBee,Full-time,False,Germany,2023-11-24 13:18:01,False,False,Germany,,,,Radical,['python'],{'programming': ['python']},Nov
Senior Data Engineer,Senior Data Engineer (f/m/d),Germany,via XING,Full-time,False,Germany,2023-03-09 13:19:39,False,False,Germany,,,,VR Smart Guide GmbH,"['python', 'go']","{'programming': ['python', 'go']}",Mar
Data Scientist,"Associate Director, Translational Data Science, Oncology R&D",Germany,via New Scientist Jobs,Full-time,False,Germany,2023-06-08 13:38:28,False,False,Germany,,,,AstraZeneca,,,Jun
Data Engineer,Data Engineer Marketing Platforms,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-06-05 13:38:44,False,False,Germany,,,,Humana,"['sql', 'azure', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['azure'], 'programming': ['sql']}",Jun
Data Engineer,Data/AI Engineer,Germany,via BeBee,Full-time,False,Germany,2023-10-14 13:10:53,False,False,Germany,,,,Würth Industrie Service GmbH & Co. KG,"['python', 'c#', 'azure', 'docker']","{'cloud': ['azure'], 'other': ['docker'], 'programming': ['python', 'c#']}",Oct
Data Engineer,Data Engineer,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-11-21 14:03:17,False,False,Germany,,,,Leadec Management Central Europe BV & Co. KG,,,Nov
Senior Data Scientist,Senior Data Scientist,Germany,via BeBee Deutschland,Full-time,False,Germany,2023-04-22 13:11:43,False,False,Germany,,,,Luxoft,"['r', 'python', 'scala', 'sql', 'nosql', 'azure', 'flow']","{'cloud': ['azure'], 'other': ['flow'], 'programming': ['r', 'python', 'scala', 'sql', 'nosql']}",Apr
Senior Data Analyst,Senior Product Data Analyst - Freelance - Germany - Remote (EU),Germany,via WJHL Jobs,Contractor,False,Germany,2023-07-05 13:12:45,True,False,Germany,,,,Global Enterprise Partners,"['sql', 'r', 'python', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'programming': ['sql', 'r', 'python']}",Jul
Senior Data Engineer,Senior Data Engineer (f/m/d),Germany,via Stepstone,Full-time,False,Germany,2023-11-04 13:33:41,True,False,Germany,,,,TRANSPOREON GmbH,"['typescript', 'bigquery', 'kafka', 'node.js', 'kubernetes']","{'cloud': ['bigquery'], 'libraries': ['kafka'], 'other': ['kubernetes'], 'programming': ['typescript'], 'webframeworks': ['node.js']}",Nov
Senior Data Engineer,Sr. Data Engineer (m/f/d),Germany,via LinkedIn,Full-time,False,Germany,2023-07-05 13:13:24,False,False,Germany,,,,Wellster Healthtech Group,"['sql', 'python', 'bigquery', 'airflow']","{'cloud': ['bigquery'], 'libraries': ['airflow'], 'programming': ['sql', 'python']}",Jul
Data Scientist,Data Scientist (m/w/d),Germany,via Stepstone,Full-time,False,Germany,2023-05-31 13:25:31,False,False,Germany,,,,Umicore AG & Co. KG,"['python', 'databricks', 'azure']","{'cloud': ['databricks', 'azure'], 'programming': ['python']}",May
Data Analyst,Data Analyst,Germany,via BeBee,Full-time,False,Germany,2023-09-07 13:24:47,True,False,Germany,,,,A EINS Digital Innovation,"['python', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['python']}",Sep
Data Scientist,Data Scientist als Consultant SAP Analytics,Germany,via BeBee,Part-time,False,Germany,2023-09-12 13:18:08,True,False,Germany,,,,ISR Information Products AG,"['sql', 'java', 'javascript', 'aws', 'azure', 'hadoop', 'sap']","{'analyst_tools': ['sap'], 'cloud': ['aws', 'azure'], 'libraries': ['hadoop'], 'programming': ['sql', 'java', 'javascript']}",Sep
Data Engineer,Data Engineer,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-27 13:14:09,False,False,Germany,,,,Enersis Suisse Ag,"['sql', 'nosql', 'python', 'airflow', 'docker', 'kubernetes']","{'libraries': ['airflow'], 'other': ['docker', 'kubernetes'], 'programming': ['sql', 'nosql', 'python']}",Oct
Data Engineer,Azure Data Engineer,Germany,via LinkedIn,Contractor,False,Germany,2023-11-24 13:18:07,True,False,Germany,,,,Ubique Systems,"['python', 'azure']","{'cloud': ['azure'], 'programming': ['python']}",Nov
Data Scientist,Data Scientist,Germany,via BeBee,Full-time,False,Germany,2023-11-28 13:20:36,False,False,Germany,,,,Canon Production Printing,"['python', 'sql', 'numpy', 'pandas', 'matplotlib', 'scikit-learn']","{'libraries': ['numpy', 'pandas', 'matplotlib', 'scikit-learn'], 'programming': ['python', 'sql']}",Nov
Data Engineer,3D Design Engineer & Product Data Management Specialist,Germany,via Flight Global Jobs,Full-time,False,Germany,2023-02-23 13:32:18,True,False,Germany,,,,Bishop GmbH,,,Feb
Senior Data Scientist,Senior Analyst,Germany,via BeBee,Full-time,False,Germany,2023-11-24 13:17:33,False,False,Germany,,,,Citibank (Switzerland) AG,,,Nov
Data Analyst,Data Analyst,Germany,via BeBee Deutschland,Full-time,False,Germany,2023-03-04 13:20:24,True,False,Germany,,,,Toto-Lotto Niedersachsen GmbH,"['go', 'sql']","{'programming': ['go', 'sql']}",Mar
Data Engineer,Data Engineer,Germany,via BeBee,Full-time,False,Germany,2023-09-28 13:51:02,False,False,Germany,,,,ARAG IT GmbH,,,Sep
Data Analyst,Data Analyst - Business Development Consultant (m/w/d),Germany,via WANE Jobs,Full-time,False,Germany,2023-10-16 13:32:50,True,False,Germany,,,,Workwise GmbH,['go'],{'programming': ['go']},Oct
Data Engineer,Business Analyst/Data Engineer (m/w/d),Germany,via Austin Fraser,Contractor,False,Germany,2023-06-22 13:13:22,True,False,Germany,,,,Austin Fraser,['jira'],{'async': ['jira']},Jun
Data Analyst,Data Analyst e-Commerce,Germany,via BeBee,Full-time,False,Germany,2023-12-02 13:27:30,True,False,Germany,,,,IPPEN,,,Dec
Data Scientist,Produktspezialisten (m/w/d) - Data Analytics.,Germany,via LinkedIn,Full-time,False,Germany,2023-09-13 13:13:05,True,False,Germany,,,,Esri Deutschland,['python'],{'programming': ['python']},Sep
Senior Data Engineer,Senior Python Data Engineer,Germany,via BeBee,Full-time,False,Germany,2023-10-30 13:11:49,True,False,Germany,,,,MODE Recruitment Limited,"['python', 'sql']","{'programming': ['python', 'sql']}",Oct
Senior Data Engineer,SENIOR DATA ENGINEER,Germany,via LinkedIn,Full-time,False,Germany,2023-07-14 13:12:45,False,False,Germany,,,,Mantaro Brands,"['c#', 'typescript', 'sql', 'postgresql', 'aws', 'react', 'vue.js', 'angular', 'tableau']","{'analyst_tools': ['tableau'], 'cloud': ['aws'], 'databases': ['postgresql'], 'libraries': ['react'], 'programming': ['c#', 'typescript', 'sql'], 'webframeworks': ['vue.js', 'angular']}",Jul
Data Engineer,Big Data Engineer (M/W/D),Germany,via Indeed,Full-time,False,Germany,2023-08-20 13:44:08,False,False,Germany,,,,CENTA MG GmbH,"['python', 'scala', 'matlab', 'r', 'sql', 'nosql', 'cassandra', 'elasticsearch', 'aws', 'azure', 'spark', 'hadoop', 'kafka']","{'cloud': ['aws', 'azure'], 'databases': ['cassandra', 'elasticsearch'], 'libraries': ['spark', 'hadoop', 'kafka'], 'programming': ['python', 'scala', 'matlab', 'r', 'sql', 'nosql']}",Aug
Machine Learning Engineer,AI Specialist (m/w/d),Germany,via Stepstone,Full-time,False,Germany,2023-11-15 13:19:58,False,False,Germany,,,,Rosen Technology & Research Center GmbH,,,Nov
Data Engineer,Data Engineer - Remote (m/w/d). Job in Germany My Valley Jobs Today,Germany,via My Valley Jobs Today,Full-time,False,Germany,2023-02-16 13:14:56,True,False,Germany,,,,Workwise GmbH,"['java', 'sql', 'redis', 'postgresql', 'snowflake', 'spring']","{'cloud': ['snowflake'], 'databases': ['redis', 'postgresql'], 'libraries': ['spring'], 'programming': ['java', 'sql']}",Feb
Data Engineer,Azure Data Engineer,Germany,via LinkedIn,Contractor,False,Germany,2023-11-17 13:19:10,True,False,Germany,,,,Ubique Systems,"['python', 'azure', 'kubernetes']","{'cloud': ['azure'], 'other': ['kubernetes'], 'programming': ['python']}",Nov
Data Engineer,Big Data Engineer Family Friendly Environment,Germany,via BeBee Deutschland,Full-time,False,Germany,2023-02-19 13:14:27,True,False,Germany,,,,The Recruitment 2.0 Group,"['snowflake', 'aws', 'spark', 'kafka', 'sap']","{'analyst_tools': ['sap'], 'cloud': ['snowflake', 'aws'], 'libraries': ['spark', 'kafka']}",Feb
Data Scientist,"Data Scientist, Mid-Term Network",Germany,via StepStone,Full-time,False,Germany,2023-03-01 13:24:39,False,False,Germany,,,,Amazon Europe Core,"['sql', 'python', 'redshift', 'excel']","{'analyst_tools': ['excel'], 'cloud': ['redshift'], 'programming': ['sql', 'python']}",Mar
Data Analyst,Werkstudent Data Analyst (m/f/d) (Remote),Germany,via LinkedIn,Internship,False,Germany,2023-03-21 13:31:42,True,False,Germany,,,,fisa [Financial Software Architects GmbH],"['sql', 'excel']","{'analyst_tools': ['excel'], 'programming': ['sql']}",Mar
Data Scientist,Data Scientist Soccer – Scouting & Match Analysis,Germany,via Football Careers,Full-time,False,Germany,2023-05-31 13:25:16,False,False,Germany,,,,RB Leipzig,"['sql', 'r', 'python', 'aws', 'azure', 'github']","{'cloud': ['aws', 'azure'], 'other': ['github'], 'programming': ['sql', 'r', 'python']}",May
Data Engineer,Master Data Engineer (w/m/d),Germany,via Stepstone,Full-time,False,Germany,2023-08-31 13:53:35,True,False,Germany,,,,dmTECH GmbH,"['sql', 'azure', 'graphql', 'gitlab', 'kubernetes']","{'cloud': ['azure'], 'libraries': ['graphql'], 'other': ['gitlab', 'kubernetes'], 'programming': ['sql']}",Aug
Data Scientist,Berufsbegleitender Master als Consultant Data Science,Germany,via BeBee,Part-time and Contractor,False,Germany,2023-11-23 13:24:01,False,False,Germany,,,,Knowledge University,"['python', 'java', 'snowflake', 'azure']","{'cloud': ['snowflake', 'azure'], 'programming': ['python', 'java']}",Nov
Data Scientist,data scientist,Germany,via WJTV Jobs,Full-time,False,Germany,2023-02-09 13:30:51,False,False,Germany,,,,BP,,,Feb
Business Analyst,Helmholtz Munich Summer Internship on Epigenetics Without...,Germany,via Nature,"Full-time, Temp work, and Internship",False,Germany,2023-12-11 13:50:58,False,False,Germany,,,,Helmholtz Association of German Research Centres,['excel'],{'analyst_tools': ['excel']},Dec
Software Engineer,"Senior Python Engineer, Backend",Germany,via BeBee,Full-time,False,Germany,2023-11-19 13:18:00,True,False,Germany,,,,komoot GmbH,"['python', 'trello', 'slack', 'zoom']","{'async': ['trello'], 'programming': ['python'], 'sync': ['slack', 'zoom']}",Nov
Data Engineer,Lead Data Engineer,Germany,via Indeed,Full-time,False,Germany,2023-02-17 13:16:50,True,False,Germany,,,,X4 Technology,"['python', 'gcp']","{'cloud': ['gcp'], 'programming': ['python']}",Feb
Senior Data Scientist,Senior Data Scientist,Germany,via Indeed,Full-time,False,Germany,2023-02-17 13:16:43,False,False,Germany,,,,X4 Technology,"['python', 'aws', 'pytorch']","{'cloud': ['aws'], 'libraries': ['pytorch'], 'programming': ['python']}",Feb
Data Scientist,Key User Master Data / Data Steward (gn),Germany,via StepStone,Full-time,False,Germany,2023-04-23 13:12:35,True,False,Germany,,,,HORNBACH Baumarkt AG,"['excel', 'sap']","{'analyst_tools': ['excel', 'sap']}",Apr
